id,created_at,question,question_type,fished_by
1,2024-01-15T10:00:00Z,What's a small moment from today that you'll probably forget but wish you could keep?,personal,
2,2024-01-15T10:05:00Z,If your life was a book what would this chapter be called?,personal,
3,2024-01-15T10:10:00Z,What would you tell your younger self about the person you've become?,personal,
4,2024-01-15T10:15:00Z,What's something you've changed your mind about recently?,personal,
5,2024-01-15T10:20:00Z,Describe a place where you feel most like yourself,personal,
6,2024-01-15T10:25:00Z,If consciousness could be uploaded would you still be you?,philosophical,
7,2024-01-15T10:30:00Z,Is it better to have loved and lost or to have never loved at all?,philosophical,
8,2024-01-15T10:35:00Z,Do we discover truth or create it?,philosophical,
9,2024-01-15T10:40:00Z,If a tree falls in a forest and no one hears it does it make a sound?,philosophical,
10,2024-01-15T10:45:00Z,What makes something real?,philosophical,
11,2024-01-15T10:50:00Z,How do you know when it's time to let go of something?,advice,
12,2024-01-15T10:55:00Z,What's the best way to support someone without trying to fix them?,advice,
13,2024-01-15T11:00:00Z,How do you find balance between ambition and contentment?,advice,
14,2024-01-15T11:05:00Z,What helps you get through difficult days?,advice,
15,2024-01-15T11:10:00Z,How do you know if you're on the right path?,advice,
16,2024-01-15T11:15:00Z,If you could have dinner with any fictional character who would it be?,fun,
17,2024-01-15T11:20:00Z,What's your most irrational fear that you'll never admit out loud?,fun,
18,2024-01-15T11:25:00Z,If you could live in any era for a week when would you choose?,fun,
19,2024-01-15T11:30:00Z,What conspiracy theory do you secretly hope is true?,fun,
20,2024-01-15T11:35:00Z,If animals could talk which would be the rudest?,fun,
21,2024-01-15T11:40:00Z,What part of yourself do you see in the people you love?,deep,
22,2024-01-15T11:45:00Z,When did you realize your parents were just people trying their best?,deep,
23,2024-01-15T11:50:00Z,What goodbye still haunts you?,deep,
24,2024-01-15T11:55:00Z,What truth about yourself are you still running from?,deep,
25,2024-01-15T12:00:00Z,What would it feel like to forgive yourself completely?,deep,
26,2024-01-15T12:05:00Z,What ordinary object holds extraordinary meaning for you?,personal,
27,2024-01-15T12:10:00Z,What question are you afraid to know the answer to?,philosophical,
28,2024-01-15T12:15:00Z,What's the kindest lie you've ever told?,personal,
29,2024-01-15T12:20:00Z,If happiness was a currency what would make you rich?,philosophical,
30,2024-01-15T12:25:00Z,What song lyric hits different at 3am?,personal,
31,2024-01-15T12:30:00Z,How do you know when you're home?,deep,
32,2024-01-15T12:35:00Z,What would your childhood imaginary friend think of you now?,fun,
33,2024-01-15T12:40:00Z,What's a rule you live by that you've never said out loud?,advice,
34,2024-01-15T12:45:00Z,If you could forget one thing what would you choose?,personal,
35,2024-01-15T12:50:00Z,What makes someone unforgettable?,philosophical,
36,2024-01-15T12:55:00Z,What do you miss most about who you used to be?,deep,
37,2024-01-15T13:00:00Z,If your emotions were weather what's your forecast today?,fun,
38,2024-01-15T13:05:00Z,What habit have you been meaning to break for years?,personal,
39,2024-01-15T13:10:00Z,How do you want to be remembered?,deep,
40,2024-01-15T13:15:00Z,What's your favorite way to waste time that isn't actually wasteful?,fun,
41,2024-01-15T13:20:00Z,When do you feel most powerful?,personal,
42,2024-01-15T13:25:00Z,What belief do you hold that others might find strange?,philosophical,
43,2024-01-15T13:30:00Z,What's the best mistake you ever made?,advice,
44,2024-01-15T13:35:00Z,If you could pause time for everyone but yourself what would you do?,fun,
45,2024-01-15T13:40:00Z,What story do you tell yourself when you can't sleep?,deep,
46,2024-01-15T13:45:00Z,What's something beautiful you noticed recently that others missed?,personal,
47,2024-01-15T13:50:00Z,Do you think we're alone in the universe?,philosophical,
48,2024-01-15T13:55:00Z,What's the most honest thing you've never said?,deep,
49,2024-01-15T14:00:00Z,If you could master any skill overnight what would it be?,fun,
50,2024-01-15T14:05:00Z,What do you know now that you wish you didn't?,advice,